Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Sulfur Dioxide (SO2),0.3,0.6,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Sulfur Dioxide (SO2),0.4,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, West Queens,402,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Sulfur Dioxide (SO2),0.3,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Sulfur Dioxide (SO2),0.3,0.4,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Sulfur Dioxide (SO2),0.2,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Sulfur Dioxide (SO2),0.3,0.6,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, East Harlem,303,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, East New York,204,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Sulfur Dioxide (SO2),0.3,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Jamaica,408,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Sulfur Dioxide (SO2),0.3,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Rockaways,410,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Southeast Queens,409,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, Southwest Queens,407,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Sulfur Dioxide (SO2),0.3,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Sulfur Dioxide (SO2),0.4,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 42),Queens, West Queens,402,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Sulfur Dioxide (SO2),0.3,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Sulfur Dioxide (SO2),0.3,0.4,0.4,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Sulfur Dioxide (SO2),0.3,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Sulfur Dioxide (SO2),0.3,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Sulfur Dioxide (SO2),0.5,0.7,0.6,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Sulfur Dioxide (SO2),0.3,0.5,0.5,,,
Winter 2015-16,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Sulfur Dioxide (SO2),0.5,0.7,0.6,,,
Winter 2015-16,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Sulfur Dioxide (SO2),0.3,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Sulfur Dioxide (SO2),0.3,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Queens Village (CD13),413,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Sulfur Dioxide (SO2),0.3,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Sulfur Dioxide (SO2),0.3,0.6,0.5,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Sulfur Dioxide (SO2),0.4,0.6,0.5,,,
Winter 2015-16,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Sulfur Dioxide (SO2),0.3,0.4,0.3,,,
Winter 2015-16,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
